Entity,Super
Q37813,"['Q101998', 'Q30336093', 'Q96116695']"
Q30336093,"['Q58778', 'Q96116695']"
Q5608096,['Q16334298']
Q96116695,"['Q21146257', 'Q19361238', 'Q96251598']"
Q834028,['Q16798631']
Q732577,"['Q386724', 'Q11033']"
Q2342494,"['Q488383', 'Q223557']"
Q11033,"['Q340169', 'Q11862829', 'Q1047113', 'Q8148']"
Q488383,"['Q33104279', 'Q104093226', 'Q35120']"
Q223557,"['Q4406616', 'Q96251598']"
Q234460,"['Q184754', 'Q47461344', 'Q11028']"
Q47461344,['Q17537576']
Q37866906,['Q1554231']
Q107,"['Q33104303', 'Q21550639', 'Q3054889']"
Q33104303,['Q151885']
Q21550639,['Q24034552']
Q3054889,['Q36161']
Q84048850,['Q5']
Q5932254,['Q2725376']
Q785260,['Q20056177']
Q851990,['Q874405']
Q185836,"['Q107715', 'Q2199864', 'Q100343219']"
Q27096213,['Q58416391']
Q937228,"['Q714737', 'Q19478619', 'Q35120']"
Q17334923,"['Q4373292', 'Q27096213']"
Q66747521,['Q12812139']
Q84048852,"['Q5', 'Q43445']"
Q43445,"['Q7239', 'Q19088', 'Q290']"
Q20643955,"['Q12405827', 'Q21070568']"
Q12405827,"['Q4271324', 'Q18563354', 'Q18706315']"
Q21070568,['Q21070598']
Q4502142,"['Q838948', 'Q8205328']"
Q838948,"['Q17537576', 'Q18593264', 'Q28877']"
Q2003221,"['Q193622', 'Q992253', 'Q16334295', 'Q15893266', 'Q8425']"
Q474717,"['Q2003221', 'Q3355778', 'Q15893266']"
Q193622,"['Q618779', 'Q38033430', 'Q43229']"
Q992253,['Q1530022']
Q16334295,['Q16334298']
Q15893266,"['Q27949697', 'Q64728693', 'Q35120', 'Q66593009']"
Q8425,"['Q151885', 'Q874405']"
Q3355778,['Q2061186']
Q618779,"['Q5282965', 'Q21142755']"
Q38033430,"['Q618779', 'Q16889133', 'Q24017414']"
Q43229,"['Q6671777', 'Q16334295', 'Q24229398']"
Q369359,"['Q193622', 'Q2003221']"
Q1391128,['Q193622']
Q5124642,"['Q618779', 'Q11796413']"
Q11796413,"['Q618779', 'Q38033430']"
Q31931265,['Q552345']
Q552345,"['Q80071', 'Q7225129']"
Q2998467,['Q11460']
Q3317779,"['Q11460', 'Q12684']"
Q12684,"['Q8187769', 'Q11042']"
Q4430243,"['Q2083958', 'Q7887142']"
Q874405,"['Q16334295', 'Q33104129', 'Q7887142', 'Q58778']"
Q1313923,['Q16334295']
Q2083958,['Q4184950']
Q7887142,"['Q2198779', 'Q4330518']"
Q33104129,['Q151885']
Q58778,"['Q6671777', 'Q96251598']"
Q355567,"['Q216353', 'Q4120621', 'Q187588']"
Q2304859,"['Q1097498', 'Q12737077']"
Q48352,"['Q294414', 'Q372436']"
Q216353,"['Q82799', 'Q618779']"
Q4120621,['Q5127848']
Q187588,"['Q874405', 'Q841628']"
Q1097498,"['Q82955', 'Q1251441', 'Q12737077', 'Q15296531']"
Q61788060,['Q1914636']
Q294414,['Q4164871']
Q372436,"['Q82955', 'Q28640']"
Q1516282,"['Q1811014', 'Q7239']"
Q2725376,['Q12483']
Q1811014,['Q186081']
Q3629395,['Q39546']
Q15618781,['Q1301433']
Q1301433,"['Q334166', 'Q42889']"
Q12046531,"['Q223557', 'Q837718']"
Q190903,['Q756']
Q66429760,['Q28969364']
Q837718,['Q28877']
Q28969364,['Q28969293']
Q57821,['Q6852233']
Q6852233,"['Q18691599', 'Q41176']"
Q15275719,"['Q1656682', 'Q12044624']"
Q24384,['Q186081']
Q1656682,"['Q1190554', 'Q602884']"
Q12044624,['Q67518233']
Q186081,"['Q937228', 'Q26907166']"
Q830077,['Q35120']
Q795052,"['Q7887142', 'Q23958946']"
Q24229398,['Q23958946']
Q18336849,"['Q19902884', 'Q35120']"
Q3778211,"['Q24229398', 'Q931483', 'Q26720107']"
Q72638,"['Q159344', 'Q7239']"
Q45983014,['Q16887380']
Q4271324,"['Q15619164', 'Q21070598', 'Q24334685']"
Q18563354,['Q13002315']
Q18706315,"['Q64728693', 'Q35120']"
Q21070598,"['Q18336849', 'Q18706315']"
Q246672,"['Q24034552', 'Q7184903', 'Q96251598']"
Q24034552,['Q151885']
Q17537576,['Q15621286']
Q18593264,['Q223557']
Q28877,"['Q488383', 'Q2897903', 'Q29028649', 'Q64513524']"
Q20056177,"['Q1811014', 'Q55597235']"
Q107715,"['Q309314', 'Q4373292', 'Q71550118', 'Q71758646']"
Q2199864,"['Q107715', 'Q192276', 'Q30337748', 'Q181175']"
Q100343219,['Q186081']
Q27043950,"['Q104054982', 'Q53617489']"
Q19088,"['Q7239', 'Q16521']"
Q290,['Q4897819']
Q1530022,['Q43229']
Q27949697,['Q21281405']
Q64728693,['Q7184903']
Q35120,"['Q151885', 'Q23958852']"
Q66593009,['Q21281405']
Q2061186,"['Q1530022', 'Q2742167', 'Q16334295']"
Q5282965,"['Q21142755', 'Q33104279', 'Q96253971']"
Q21142755,"['Q3265221', 'Q781413']"
Q6671777,['Q35120']
Q7225129,['Q4419563']
Q8187769,"['Q2976602', 'Q5333554', 'Q61788060']"
Q11042,"['Q2515887', 'Q3769299']"
Q4184950,['Q7184903']
Q2198779,"['Q151885', 'Q7184903']"
Q4330518,['Q488383']
Q96251598,"['Q21146257', 'Q19361238']"
Q4897819,"['Q1207505', 'Q35120']"
Q82799,"['Q3695082', 'Q8171']"
Q5127848,"['Q19478619', 'Q33104279', 'Q7184903']"
Q841628,"['Q2725376', 'Q33104129']"
Q82955,"['Q702269', 'Q28640']"
Q1251441,"['Q215627', 'Q4164871', 'Q12737077']"
Q15296531,['Q4164871']
Q1347367,['Q1207505']
Q2145290,"['Q151885', 'Q4393498']"
Q7184903,"['Q488383', 'Q23958852', 'Q96251598']"
